Sim,Spearman_rho,Spearman_p,Top20_overlap
1,0.9951031934374176,0.0,0.96
2,0.9987920220585839,0.0,0.984
3,0.9973145335427235,0.0,0.952
4,0.9987511281130395,0.0,1.0
5,0.9974824421357974,0.0,0.96
6,0.9983420912910598,0.0,0.976
7,0.9975118468299744,0.0,0.984
8,0.9970597739986363,0.0,0.96
9,0.9975452922354374,0.0,0.952
10,0.995812557342805,0.0,0.952
11,0.9986812189394662,0.0,0.96
12,0.9979970729671646,0.0,0.976
13,0.9985493359650859,0.0,0.992
14,0.9944142765048023,0.0,0.944
15,0.9989597359185836,0.0,0.976
16,0.9955185104010343,0.0,0.952
17,0.9910826857079265,0.0,0.928
18,0.994963277723734,0.0,0.952
19,0.9963490956449993,0.0,0.968
20,0.9995621426830653,0.0,0.992
21,0.9969578799176553,0.0,0.984
22,0.9910725595880773,0.0,0.92
23,0.9990092954859218,0.0,0.976
24,0.9945674827507879,0.0,0.936
25,0.9940621991069737,0.0,0.944
26,0.9975480184984736,0.0,0.96
27,0.9972298733387931,0.0,0.96
28,0.9982565061050279,0.0,0.96
29,0.9992691180899336,0.0,0.984
30,0.9947142628053306,0.0,0.96
31,0.9981714077516811,0.0,0.968
32,0.9982443352879017,0.0,0.968
33,0.9990776954781715,0.0,0.976
34,0.997622455216018,0.0,0.976
35,0.9963220277477105,0.0,0.992
36,0.9967030716902997,0.0,0.96
37,0.992486954587955,0.0,0.936
38,0.9980321249204881,0.0,0.968
39,0.9967198187346655,0.0,0.952
40,0.9987340402857944,0.0,0.976
41,0.997118534703722,0.0,0.968
42,0.9961666794379108,0.0,0.952
43,0.9952772361223232,0.0,0.96
44,0.9990655246610454,0.0,0.992
45,0.9956749784260096,0.0,0.976
46,0.9960778811561576,0.0,0.96
47,0.9943353609265555,0.0,0.944
48,0.9973215439333882,0.0,0.968
49,0.9989811565567259,0.0,0.968
50,0.9983778248101427,0.0,0.968
51,0.9943287886853074,0.0,0.96
52,0.996574888644326,0.0,0.96
53,0.9988918714422877,0.0,0.976
54,0.9976503507288713,0.0,0.968
55,0.9975444159366043,0.0,0.952
56,0.9982124477470309,0.0,0.968
57,0.997502743058764,0.0,0.976
58,0.9970279351410339,0.0,0.976
59,0.9991170315591237,0.0,0.992
60,0.9949884956568196,0.0,0.952
61,0.9987320442717854,0.0,0.984
62,0.9990385541302933,0.0,0.984
63,0.9966218679984332,0.0,0.96
64,0.9993247630658347,0.0,1.0
65,0.9968857313137308,0.0,0.968
66,0.997800003096256,0.0,0.976
67,0.9991562215902702,0.0,0.984
68,0.9969294975721168,0.0,0.96
69,0.9960558276355247,0.0,0.96
70,0.9980309078387755,0.0,0.976
71,0.997594511019896,0.0,0.96
72,0.9973295766726915,0.0,0.976
73,0.9981734524489583,0.0,0.976
74,0.9983001749968771,0.0,0.96
75,0.9972020265092081,0.0,0.968
76,0.9884556878561243,0.0,0.92
77,0.9993373720323775,0.0,0.984
78,0.9968735604966044,0.0,0.976
79,0.9975347279661718,0.0,0.968
80,0.9930792352325878,0.0,0.952
81,0.999413366614514,0.0,1.0
82,0.9958088087311301,0.0,0.944
83,0.9969367513791241,0.0,0.968
84,0.9986131597300961,0.0,0.968
85,0.9966506398101198,0.0,0.96
86,0.9910541086293139,0.0,0.936
87,0.9932885246038912,0.0,0.944
88,0.9962500251935915,0.0,0.96
89,0.9982656585595071,0.0,0.976
90,0.9980378695461718,0.0,0.952
91,0.9933762518537372,0.0,0.936
92,0.9939943833139462,0.0,0.952
93,0.9938711659613598,0.0,0.96
94,0.9990029666610162,0.0,0.984
95,0.9993071884059045,0.0,0.992
96,0.9952375105752231,0.0,0.952
97,0.9959840198144798,0.0,0.952
98,0.9977189941374636,0.0,0.96
99,0.9920230517223702,0.0,0.952
100,0.9877554277219474,0.0,0.928
