AI,AREA_MN,CONTAG,DEM,ERF,BUA proportion,NDVI,PD,Population density,Road network density,Soil permeability,Green space ratio,Drainage network density
0.484382992,0.372384056,0.746347195,0.146049695,0.157491573,0.981183754,0.285652193,0.490448599,0.957658221,0.956563982,0.570022395,0.525585193,0.209917723
0.231341473,0.137625387,0.915895387,0.01474014,0.540817476,0.810925481,0.569185198,0.239102911,0.893663778,0.876772397,0.283698465,0.268100163,0.214809873
0.793258092,0.715125132,0.362173786,0.592904537,0.147965302,0.960614563,0.628767027,0.775092799,0.97907038,0.976092203,0.26853612,0.428688078,0.234378475
0.05482839,0.02379141,0.963669689,0.029183864,0.514201504,0.712379321,0.693011321,0.066522017,0.845428123,0.915466655,0.083617183,0.44011976,0.338892595
0.737911141,0.64482567,0.448992905,0.196500784,0.474899956,0.951194251,0.293879365,0.726996529,0.922044984,0.959964215,0.207114752,0.449101796,0.113408939
0.976940152,0.971699172,0.039608148,0.023624956,0.186406553,0.739545318,0.220785672,0.977187542,0.871311677,0.909117479,0.271656566,0.420794774,0.173226596
0.475484865,0.333467749,0.805841721,0.099754946,0.62071086,0.959549542,0.200993304,0.469901926,0.971393858,0.955603316,0.155967068,0.515514426,0.316433178
0.543393028,0.468332283,0.647235121,0.041101556,0.480524432,0.205842507,0.734175829,0.548474157,0.02387697,0.509224291,0.040518415,0.583832335,0.314876584
0.336574979,0.19203426,0.922127957,0.26433667,0.379359538,0.98436216,0.18568241,0.336911729,0.987581511,0.986296064,0.012665465,0.619760479,0.116744496
0.179601117,0.069127024,0.954965789,0.067511679,0.783250438,0.950230325,0.199651402,0.160230374,0.953478315,0.964832347,0.22802225,0.873979314,0.198132088
0.14686791,0.087348089,0.945270808,0.918651141,0.357371156,0.996602501,0.502149301,0.162185585,0.990689726,0.991060352,0.663628752,0.364997278,0.184122748
0.525423307,0.434404909,0.651060276,0.039668115,0.347691927,0.79655969,0.556156603,0.527512566,0.927251019,0.910180511,0.262104246,0.710397387,0.146542139
0.859700223,0.802623423,0.284611253,0.495456221,0.349394969,0.796825096,0.329162676,0.851951171,0.868209589,0.807069045,0.272825183,0.449646162,0.200355793
0.897901808,0.873587291,0.205304085,0.015343116,0.406437766,0.728906479,0.365706124,0.907855172,0.883567078,0.947461528,0.439674487,0.7022319,0.154547476
0.829107885,0.766885834,0.307152381,0.121625931,0.315001599,0.766403615,0.438049193,0.827770829,0.893979927,0.91433302,0.268889157,0.61050626,0.165666
0.547588799,0.434336757,0.678059316,0.056072361,0.628346598,0.966267492,0.258447267,0.531391162,0.967714749,0.975180439,0.267165501,0.436581383,0.304647543
0.17985134,0.097206662,0.954710743,0.160996293,0.591836924,0.930318473,0.250809909,0.184083352,0.965082794,0.927689382,0.156633885,0.484757757,0.395374694
0.584546328,0.461577272,0.684456157,0.272082409,0.450794049,0.984612106,0.295452236,0.598491989,0.947421603,0.979196305,0.207354151,0.420794774,0.15654881
0.883009987,0.844427383,0.233467709,0.078762285,0.285165236,0.679197688,0.42371226,0.888218388,0.87859735,0.92089776,0.25460596,0.469243332,0.141205248
0.308822599,0.215811717,0.889133458,0.567877727,0.336340018,0.881478061,0.31020301,0.339105418,0.911461307,0.943874052,0.785602049,0.528307022,0.254169446
0.204325333,0.162218674,1,0.018511694,0.294851517,0.714534035,0.959253935,0.259252401,0.787127182,0.733532374,0.408983397,1,0.261062931
0.936854063,0.921229813,0.102549491,0.095048617,0.111562578,0.865241861,0.180020159,0.934765043,0.955976486,0.938633759,0.269243089,0.445291236,0.22748499
0.763806649,0.704562241,0.35789507,0.307761785,0.292883281,0.98402886,0.023970414,0.752388678,1,0.990637438,0.219910179,0.505715841,0.078941517
0.289778299,0.164316454,0.932511939,0.15349488,0.373302952,0.942935806,0.248521545,0.283517844,0.920524436,0.960014163,0.269734972,0.586554164,0.01400934
0.918430255,0.891170578,0.133539649,0.674531279,0.205530501,0.999045209,0.822269355,0.916363478,0.994083434,0.992002012,0.270902006,0.323625476,0.17989771
0.256806229,0.188514668,0.85281484,0.212741598,0.595560723,0.782410277,0.407219125,0.284551389,0.874385667,0.91010551,0.107107996,0.612683723,0.14209473
0.653733854,0.500759075,0.67787579,0.175799743,0.477338577,0.954946606,0.346876738,0.661984242,0.897970844,0.96137572,0.246911734,0.478769733,0
0.502804958,0.435129018,0.610323814,0.080994465,0.296783852,0.906041053,0.193026587,0.480826064,0.947537426,0.936392484,0.275412837,0.590092542,0.114520792
0.22933938,0.140155152,0.912112169,0.021045649,0.572529406,0.877024516,0.455562817,0.23476194,0.915197708,0.954625581,0.226872021,0.7022319,0.376917945
0.832164908,0.791622487,0.254956918,0.029808902,0.229122568,0.724800447,0.640539876,0.835207176,0.919689657,0.919315906,0.385184727,0.568862275,0.206804536
0.379155012,0.248597172,0.848164326,0.062278804,0.487499773,0.958765498,0.420069866,0.371566242,0.943123199,0.970425114,0.394095093,0.576483397,0.296864576
0.568810503,0.517072698,0.592582636,0.036866668,0.743823631,0.869796193,0.325617521,0.57884553,0.914183258,0.953616438,0.269660315,0.365813827,0.297531688
0.204893939,0.112185748,0.956970019,0.141905185,0.522587065,0.848962096,0.317354904,0.208483386,0.920640948,0.870104606,0.164843961,0.543821448,0.456081832
0.790943142,0.730500404,0.345378917,0.000977459,0.252676718,0.87205094,0.37801013,0.788468451,0.950645012,0.916040087,0.595031694,0.54491018,0.182343785
